"Population, total",GDP per capita (current US$),Urban population (% of total population),"Barro-Lee: Population in thousands, age 30-34, total"
7511895.0,,21.088,
7771590.0,,22.122,
8043218.0,,23.192,
8330047.0,711.941169235015,24.298,
8631457.0,643.052851443849,25.437,
8947152.0,620.363109508475,26.612,
9276707.0,623.533932500336,27.821,
9617702.0,637.519759416351,29.065,
9970621.0,757.581745332071,30.338,
10332574.0,684.443522551906,31.643,
10694057.0,755.921911802631,32.978,
11060261.0,792.861086171426,34.343,
11439498.0,891.74359219596,35.731,
11828638.0,949.286381342915,37.144,
12228691.0,867.123434650279,38.58,
12632507.0,657.653383733607,40.039,
13038270.0,442.445234039,41.511,
13462031.0,329.691784054774,43.0,
13912253.0,398.120222507968,44.169,
14383350.0,523.274939810066,45.346,
14871146.0,514.309886597359,46.525,
15366864.0,423.393452775682,47.71,
15870753.0,387.689414798423,48.897,
16394062.0,556.88424373456,50.087,
16941587.0,527.463201835885,51.274,
17516139.0,872.657771693749,52.461,
18124342.0,982.805600622396,53.645,
18771125.0,1254.69556291539,54.827,
19450959.0,1900.72472515377,56.0,
20162340.0,2597.96268151603,56.764,
20909684.0,3121.35047480325,57.524,
21691522.0,4081.71500392279,58.282,
22507674.0,3123.69758573592,59.034,
23364185.0,3496.78479608032,59.783,
24259111.0,4511.15322719034,60.528,
25188292.0,4962.55207190082,61.268,
26147002.0,5101.98387641128,62.002,
27128337.0,5059.08044128816,62.731,
28127721.0,3100.83068530533,63.446,
29154746.0,1709.51553404553,64.149,
30208628.0,2283.21423255725,64.839,
31273533.0,2487.50099555267,65.514,
32353588.0,2142.23875712854,66.177,
33428486.0,1603.99347745326,66.825,
34503774.0,1953.53375721508,67.46,
113939886.0,1547.6942060653,62.689,
116664382.0,1716.70772767288,63.625,
119447303.0,1853.01969086922,64.551,
122288383.0,1941.25953805961,65.468,8053.0
125168060.0,2061.34995420275,66.37,
128065095.0,2118.56410810781,67.262,
130977370.0,1448.00973115761,68.142,
133888775.0,1406.68979969815,69.01,
136783180.0,1287.61240473129,69.862,9821.0
139643355.0,1545.92842461268,70.703,
142466264.0,1667.18756959757,71.529,
145253973.0,1781.81787555997,72.342,
148003411.0,2344.73068725577,73.139,
150706446.0,2592.62716607932,73.922,11436.0
153336445.0,2234.36268750579,74.69,
155900790.0,2105.10774751013,75.444,
158440875.0,2324.49977472726,76.181,
160980472.0,3263.56262238902,76.903,
163515328.0,4704.96154593883,77.61,13212.0
166037122.0,5121.90540734464,78.302,
168546707.0,5240.12879590406,79.048,
171039804.0,5049.76611943426,79.781,
173486281.0,3456.42359484227,80.496,
175873720.0,3726.81142036099,81.192,13540.0
178211881.0,3142.27793491612,81.553,
180476685.0,2824.679625276,81.88,
182629278.0,3056.62496707108,82.203,
184722043.0,3623.24799633539,82.521,
186797334.0,4773.24894374558,82.834,14286.0
188820682.0,5866.09622382995,83.143,
190779453.0,7323.03362855509,83.448,
192672317.0,8801.59948420962,83.749,
194517549.0,8570.02256200077,84.044,
196353492.0,11249.464543278,84.335,16026.0
198185302.0,13200.7850823986,84.631,
199977707.0,12327.3174365132,84.923,
201721767.0,12258.5031683848,85.209,
203459650.0,12071.1582132348,85.492,
205188205.0,8783.22598387817,85.77,
206859578.0,8680.76879182018,86.042,
208504960.0,9896.68478335903,86.309,
210166592.0,9121.08340257783,86.569,
211782878.0,8845.25911841876,86.824,
213196304.0,6794.48915877166,87.073,
214326223.0,7507.16097080234,87.317,
